modelo,estrategia,accuracy,precision,recall,f1,roc_auc
GradientBoosting,gb_threshold_0.35,0.7826180318085038,0.5747323483521449,0.6955455835758627,0.6293728165080956,0.8458769899748028
GradientBoosting,gb_threshold_0.30,0.7652970554551907,0.5418102833144045,0.7495992888990839,0.6289402417710873,0.8458769899748028
MLP,mlp_undersampling,0.7535089965481643,0.5247480924549315,0.7758053647976373,0.6258351987241866,0.8416318316314128
LogisticRegression,lr_baseline,0.7452780219691594,0.51283352100067,0.8020186090521999,0.6255901890583028,0.8448653793686338
GradientBoosting,gb_smote,0.7912790744564165,0.5966758312634857,0.6575518630557268,0.6255373299566823,0.8442637450460786
MLP,mlp_threshold_0.35,0.7770808802180785,0.5651488530829865,0.6976487792289716,0.6234642102435279,0.8433055423507403
MLP,mlp_smote,0.7451350691980128,0.5128774897765497,0.7902510358274434,0.6218596413007655,0.8421883843767656
GradientBoosting,gb_threshold_0.40,0.7925567778566359,0.6025093536605901,0.6415047812934581,0.6213474527128857,0.8458769899748028
MLP,mlp_threshold_0.30,0.7584817972127234,0.5322244581076845,0.7458086622414014,0.6205079434139685,0.8433055423507403
MLP,mlp_threshold_0.40,0.7881550825859732,0.5920148593906663,0.6511046436610228,0.6192654870235103,0.8433055423507403
LogisticRegression,lr_threshold_0.45,0.7249731837537905,0.48940207789483725,0.8362618457083052,0.6174149509386718,0.8448653793686338
MLP,mlp_threshold_0.45,0.7996560261952383,0.6276001693347081,0.6024100012903041,0.6136219374661646,0.8433055423507403
GradientBoosting,gb_threshold_0.45,0.8016450658106974,0.6353281031343765,0.5922811142492581,0.6129746686317823,0.8458769899748028
MLP,mlp_oversampling,0.7388872870830376,0.5061546460837665,0.7683015297271725,0.6098658682160402,0.8379142164992528
LogisticRegression,lr_threshold_0.40,0.7026806164913865,0.46785152777359135,0.8694341299766313,0.6082849286700368,0.8448653793686338
RandomForest,rf_threshold_0.30,0.7495373693464095,0.5201515561424864,0.727116457111726,0.6063793162562653,0.8210795606362868
RandomForest,rf_threshold_0.35,0.7637348578940577,0.5442424176936191,0.6714584737136385,0.6010820313632473,0.8210795606362868
LogisticRegression,lr_threshold_0.35,0.6732904138976707,0.44386517514588286,0.9095625869163166,0.5965172904079686,0.8448653793686338
MLP,mlp_baseline,0.8032059528034067,0.655575411159775,0.5430216054250119,0.5929689243341432,0.8433055423507403
RandomForest,rf_threshold_0.40,0.7750924454803536,0.570140466609254,0.6174205387736377,0.5927552956919444,0.8210795606362868
GradientBoosting,gb_baseline,0.8030654195431962,0.6618266556662085,0.5275379564450688,0.5867849156699723,0.8458769899748028
LogisticRegression,lr_threshold_0.30,0.6463145807794051,0.42381171714972343,0.9240154263021318,0.5810475489418347,0.8448653793686338
RandomForest,rf_smote,0.7786417672107879,0.5858118828997616,0.562839242448137,0.5739105938892461,0.8197122711540021
RandomForest,rf_threshold_0.45,0.7823327311439449,0.5963634611524027,0.5532121403277372,0.5738361761862019,0.8210795606362868
RandomForest,rf_baseline,0.7863093989934835,0.6237210493815137,0.4890080428954424,0.548061151023505,0.8210798189741411
RandomForest,rf_class_weight,0.7873030114846118,0.6305987796548701,0.47670140929879146,0.5426503329628536,0.8214144682411799
